full_name,e,a,i,om,w,per,ma
71 Niobe (A861 PA),0.1768,2.754,23.24,315.91,267.06,1.67e+03,334.91
72 Feronia (A861 KA),0.1215,2.266,5.42,207.93,102.84,1.25e+03,224.60
73 Klytia (A862 GA),0.0422,2.665,2.37,6.84,56.34,1.59e+03,245.87
74 Galatea (A862 QA),0.2362,2.78,4.07,197.11,174.86,1.69e+03,339.33
75 Eurydike (A862 SA),0.3039,2.675,4.99,359.30,339.62,1.6e+03,52.25
76 Freia (A862 UA),0.1675,3.41,2.12,204.28,252.07,2.3e+03,236.99
77 Frigga (A862 VA),0.1339,2.669,2.42,1.08,61.34,1.59e+03,16.12
78 Diana (A863 EA),0.2034,2.622,8.68,333.30,153.20,1.55e+03,62.32
79 Eurynome (A863 RA),0.1912,2.445,4.61,206.52,201.51,1.4e+03,24.03
80 Sappho (A864 JA),0.1997,2.296,8.68,218.64,139.61,1.27e+03,304.01
81 Terpsichore (A864 SA),0.2121,2.853,7.80,0.90,51.29,1.76e+03,36.70
82 Alkmene (A864 WA),0.2209,2.762,2.83,25.43,110.88,1.68e+03,245.27
83 Beatrix (A865 HA),0.0828,2.432,4.97,27.67,169.98,1.39e+03,27.93
84 Klio (A865 QA),0.2356,2.363,9.31,327.50,15.07,1.33e+03,290.35
85 Io (A865 SA),0.1934,2.654,11.96,203.05,122.89,1.58e+03,317.06
86 Semele (A866 AA),0.2166,3.104,4.82,86.07,309.07,2e+03,351.88
87 Sylvia (A866 KA),0.0939,3.477,10.88,73.01,264.63,2.37e+03,35.44
88 Thisbe (A866 LA),0.1634,2.771,5.22,276.32,37.05,1.69e+03,115.90
89 Julia (A866 PA),0.1840,2.551,16.12,311.53,45.17,1.49e+03,261.66
90 Antiope (A866 TA),0.1711,3.145,2.21,69.92,244.50,2.04e+03,138.15
91 Aegina (A866 VA),0.1076,2.589,2.10,10.42,74.47,1.52e+03,279.59
92 Undina (A867 NA),0.1051,3.184,9.92,101.40,236.84,2.08e+03,168.62
93 Minerva (A867 QA),0.1422,2.755,8.54,3.84,275.81,1.67e+03,186.88
94 Aurora (A867 RA),0.0957,3.154,7.97,2.54,60.47,2.05e+03,300.30
95 Arethusa (A867 WA),0.1530,3.064,13.01,242.94,152.77,1.96e+03,82.71
96 Aegle (A868 DA),0.1419,3.05,15.98,321.47,207.97,1.95e+03,115.11
97 Klotho (A868 DB),0.2578,2.668,11.78,159.59,268.38,1.59e+03,43.62
98 Ianthe (A868 HA),0.1878,2.686,15.58,353.89,158.29,1.61e+03,213.68
99 Dike (A868 KA),0.1976,2.663,13.86,41.41,195.48,1.59e+03,337.90
100 Hekate (A868 NA),0.1681,3.089,6.43,127.17,183.68,1.98e+03,250.54
